Local time,Open,High,Low,Close,Volume
03.04.2023 00:00:00.000 GMT+0330,28024,28024,28007,28024,0.0002
03.04.2023 00:01:00.000 GMT+0330,28024,28024,28024,28024,0
03.04.2023 00:02:00.000 GMT+0330,28024,28024,28003,28003,0
03.04.2023 00:03:00.000 GMT+0330,28005,28016,28005,28013,0.0001
03.04.2023 00:04:00.000 GMT+0330,28013,28029,28013,28029,0.0001
03.04.2023 00:05:00.000 GMT+0330,28029,28036,28029,28036,0.0001
03.04.2023 00:06:00.000 GMT+0330,28037,28040,28036,28040,0
03.04.2023 00:07:00.000 GMT+0330,28041,28051,28041,28045,0.0001
03.04.2023 00:08:00.000 GMT+0330,28045,28045,28035,28039,0
03.04.2023 00:09:00.000 GMT+0330,28039,28039,28039,28039,0
03.04.2023 00:10:00.000 GMT+0330,28040,28043,28039,28043,0.0001
03.04.2023 00:11:00.000 GMT+0330,28043,28043,28038,28038,0
03.04.2023 00:12:00.000 GMT+0330,28039,28045,28038,28045,0.0001
03.04.2023 00:13:00.000 GMT+0330,28045,28056,28045,28056,0.0001
03.04.2023 00:14:00.000 GMT+0330,28056,28059,28056,28059,0
03.04.2023 00:15:00.000 GMT+0330,28059,28059,28046,28046,0
03.04.2023 00:16:00.000 GMT+0330,28046,28046,28038,28038,0
03.04.2023 00:17:00.000 GMT+0330,28038,28041,28022,28032,0.0001
03.04.2023 00:18:00.000 GMT+0330,28032,28032,28022,28030,0.0001
03.04.2023 00:19:00.000 GMT+0330,28030,28030,28025,28025,0
03.04.2023 00:20:00.000 GMT+0330,28025,28028,28025,28025,0
03.04.2023 00:21:00.000 GMT+0330,28026,28037,28026,28037,0.0001
03.04.2023 00:22:00.000 GMT+0330,28038,28045,28038,28040,0.0001
03.04.2023 00:23:00.000 GMT+0330,28040,28040,28033,28033,0
03.04.2023 00:24:00.000 GMT+0330,28033,28033,28033,28033,0
03.04.2023 00:25:00.000 GMT+0330,28033,28061,28033,28050,0.0003
03.04.2023 00:26:00.000 GMT+0330,28052,28063,28052,28059,0.0002
03.04.2023 00:27:00.000 GMT+0330,28059,28059,28051,28051,0
03.04.2023 00:28:00.000 GMT+0330,28051,28051,28046,28046,0
03.04.2023 00:29:00.000 GMT+0330,28048,28051,28041,28041,0.0001
03.04.2023 00:30:00.000 GMT+0330,28041,28041,28041,28041,0
03.04.2023 00:31:00.000 GMT+0330,28041,28041,28038,28038,0
03.04.2023 00:32:00.000 GMT+0330,28038,28038,28034,28034,0
03.04.2023 00:33:00.000 GMT+0330,28034,28034,28034,28034,0
03.04.2023 00:34:00.000 GMT+0330,28036,28039,28036,28039,0
