,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
0,27935,28024,28024,28003,28013,28029,28036,28040,28045,28039,28039
1,28024,28024,28003,28013,28029,28036,28040,28045,28039,28039,28043
2,28024,28003,28013,28029,28036,28040,28045,28039,28039,28043,28038
3,28003,28013,28029,28036,28040,28045,28039,28039,28043,28038,28045
4,28013,28029,28036,28040,28045,28039,28039,28043,28038,28045,28056
5,28029,28036,28040,28045,28039,28039,28043,28038,28045,28056,28059
6,28036,28040,28045,28039,28039,28043,28038,28045,28056,28059,28046
7,28040,28045,28039,28039,28043,28038,28045,28056,28059,28046,28038
8,28045,28039,28039,28043,28038,28045,28056,28059,28046,28038,28032
9,28039,28039,28043,28038,28045,28056,28059,28046,28038,28032,28030
10,28039,28043,28038,28045,28056,28059,28046,28038,28032,28030,28025
11,28043,28038,28045,28056,28059,28046,28038,28032,28030,28025,28025
12,28038,28045,28056,28059,28046,28038,28032,28030,28025,28025,28037
13,28045,28056,28059,28046,28038,28032,28030,28025,28025,28037,28040
14,28056,28059,28046,28038,28032,28030,28025,28025,28037,28040,28033
15,28059,28046,28038,28032,28030,28025,28025,28037,28040,28033,28033
16,28046,28038,28032,28030,28025,28025,28037,28040,28033,28033,28050
17,28038,28032,28030,28025,28025,28037,28040,28033,28033,28050,28059
18,28032,28030,28025,28025,28037,28040,28033,28033,28050,28059,28051
19,28030,28025,28025,28037,28040,28033,28033,28050,28059,28051,28046
20,28025,28025,28037,28040,28033,28033,28050,28059,28051,28046,28041
21,28025,28037,28040,28033,28033,28050,28059,28051,28046,28041,28041
22,28037,28040,28033,28033,28050,28059,28051,28046,28041,28041,28038
23,28040,28033,28033,28050,28059,28051,28046,28041,28041,28038,28034
24,28033,28033,28050,28059,28051,28046,28041,28041,28038,28034,28034
25,28033,28050,28059,28051,28046,28041,28041,28038,28034,28034,28039
26,28050,28059,28051,28046,28041,28041,28038,28034,28034,28039,28059
27,28059,28051,28046,28041,28041,28038,28034,28034,28039,28059,28065
28,28051,28046,28041,28041,28038,28034,28034,28039,28059,28065,28077
