,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
0,28041,28041,28038,28034,28034,28039,28059,28065,28077,28077,28101
1,28039,28059,28065,28077,28077,28101,28109,28114,28102,28107,28103
2,28114,28102,28107,28103,28100,28076,28068,28060,28067,28061,28065
3,28068,28068,28072,28064,28060,28088,28091,28091,28074,28045,28053
4,28049,28049,28049,28067,28057,28054,28039,28039,28022,27973,28012
5,28039,28039,28022,27973,28012,27983,27975,27977,27981,27995,27987
6,27975,27977,27981,27995,27987,28002,27993,28001,28009,27998,27974
7,27974,27931,27964,27957,27947,27924,27886,27895,27887,27900,27875
8,27947,27924,27886,27895,27887,27900,27875,27886,27892,27857,27882
9,27901,27905,27880,27875,27878,27865,27882,27893,27898,27906,27959
10,27905,27880,27875,27878,27865,27882,27893,27898,27906,27959,27963
11,27875,27878,27865,27882,27893,27898,27906,27959,27963,27953,27945
12,27893,27898,27906,27959,27963,27953,27945,27938,27951,27928,27914
13,27898,27906,27959,27963,27953,27945,27938,27951,27928,27914,27923
14,27931,27934,27932,27945,27939,27941,27941,27941,27941,27941,27941
15,27934,27932,27945,27939,27941,27941,27941,27941,27941,27941,27941
16,27941,27941,27940,27982,28046,28061,28045,28054,28044,28051,28063
17,28075,28083,28090,28069,28059,28058,28060,28044,28033,28044,28045
18,28058,28060,28044,28033,28044,28045,28054,28046,28059,28073,28072
19,28045,28054,28046,28059,28073,28072,28068,28070,28044,28039,28040
20,28046,28059,28073,28072,28068,28070,28044,28039,28040,28030,28040
21,28040,28030,28040,28056,28056,28046,28075,28093,28089,28091,28092
22,28118,28121,28137,28137,28155,28147,28148,28153,28153,28161,28180
23,28137,28137,28155,28147,28148,28153,28153,28161,28180,28170,28170
24,28155,28147,28148,28153,28153,28161,28180,28170,28170,28170,28173
25,28131,28135,28139,28134,28134,28134,28136,28146,28159,28158,28150
26,28127,28120,28119,28114,28110,28082,28099,28104,28098,28114,28124
27,28120,28119,28114,28110,28082,28099,28104,28098,28114,28124,28124
28,28114,28124,28124,28105,28090,28079,28091,28103,28100,28090,28068
29,28105,28090,28079,28091,28103,28100,28090,28068,28066,28077,28057
30,28090,28088,28089,28092,28109,28116,28120,28113,28110,28113,28110
31,28080,28081,28074,28082,28073,28051,28054,28067,28059,28044,28027
32,28082,28073,28051,28054,28067,28059,28044,28027,28041,28037,28026
33,28067,28059,28044,28027,28041,28037,28026,28011,28002,27997,27999
34,28011,28002,27997,27999,27999,27985,27983,28011,28003,27997,27974
35,27955,27937,27959,27965,27717,27654,27692,27591,27606,27607,27642
36,27591,27606,27607,27642,27682,27656,27694,27674,27673,27664,27646
37,27682,27656,27694,27674,27673,27664,27646,27683,27665,27680,27688
38,27665,27680,27688,27649,27641,27660,27664,27670,27661,27689,27721
39,27660,27664,27670,27661,27689,27721,27722,27738,27729,27738,27733
40,27737,27740,27753,27766,27775,27745,27740,27732,27738,27744,27739
41,27740,27732,27738,27744,27739,27769,27786,27781,27759,27728,27725
42,27709,27715,27729,27735,27756,27771,27773,27781,27775,27774,27773
43,27771,27773,27781,27775,27774,27773,27769,27759,27787,27773,27758
44,27773,27769,27759,27787,27773,27758,27764,27746,27723,27735,27730
45,27746,27723,27735,27730,27734,27729,27737,27727,27702,27695,27698
46,27734,27729,27737,27727,27702,27695,27698,27704,27704,27705,27701
47,27705,27701,27681,27658,27650,27653,27635,27613,27631,27648,27661
48,27635,27613,27631,27648,27661,27662,27669,27644,27642,27650,27665
49,27648,27661,27662,27669,27644,27642,27650,27665,27668,27672,27674
50,27662,27696,27703,27695,27694,27690,27682,27660,27656,27659,27689
51,27694,27690,27682,27660,27656,27659,27689,27695,27708,27710,27720
52,27755,27744,27742,27744,27741,27741,27734,27731,27738,27723,27723
53,27742,27744,27741,27741,27734,27731,27738,27723,27723,27721,27706
54,27744,27741,27741,27734,27731,27738,27723,27723,27721,27706,27698
55,27738,27723,27723,27721,27706,27698,27698,27695,27686,27692,27683
56,27723,27723,27721,27706,27698,27698,27695,27686,27692,27683,27690
57,27695,27686,27692,27683,27690,27690,27661,27663,27664,27643,27642
58,27690,27661,27663,27664,27643,27642,27641,27651,27662,27670,27680
59,27625,27615,27596,27612,27624,27631,27635,27630,27643,27633,27651
60,27630,27643,27633,27651,27623,27630,27646,27661,27669,27678,27676
61,27678,27676,27680,27672,27673,27679,27674,27689,27686,27680,27678
62,27675,27686,27703,27711,27702,27703,27695,27695,27691,27691,27698
63,27703,27711,27702,27703,27695,27695,27691,27691,27698,27690,27698
64,27695,27699,27708,27699,27703,27704,27709,27726,27726,27730,27728
65,27708,27699,27703,27704,27709,27726,27726,27730,27728,27730,27720
66,27699,27703,27704,27709,27726,27726,27730,27728,27730,27720,27710
67,27728,27730,27720,27710,27692,27694,27686,27675,27688,27693,27691
68,27694,27686,27675,27688,27693,27691,27688,27665,27658,27641,27634
69,27665,27658,27641,27634,27646,27650,27656,27660,27663,27662,27676
70,27650,27656,27660,27663,27662,27676,27668,27642,27639,27660,27668
71,27660,27663,27662,27676,27668,27642,27639,27660,27668,27685,27670
72,27660,27668,27685,27670,27672,27685,27687,27682,27693,27709,27723
73,27668,27685,27670,27672,27685,27687,27682,27693,27709,27723,27726
74,27685,27670,27672,27685,27687,27682,27693,27709,27723,27726,27715
75,27670,27672,27685,27687,27682,27693,27709,27723,27726,27715,27707
76,27672,27685,27687,27682,27693,27709,27723,27726,27715,27707,27709
77,27693,27698,27702,27711,27712,27711,27715,27709,27715,27720,27727
78,27702,27711,27712,27711,27715,27709,27715,27720,27727,27752,27761
79,27761,27745,27763,27800,27793,27791,27799,27781,27772,27771,27771
80,27781,27772,27771,27771,27761,27757,27768,27754,27775,27778,27774
81,27775,27778,27774,27804,27848,27832,27827,27819,27826,27825,27856
82,27848,27832,27827,27819,27826,27825,27856,27865,27870,27877,27904
83,27905,27935,27960,27975,28044,28032,28018,28039,28045,28090,28140
84,28032,28018,28039,28045,28090,28140,28117,28126,28118,28114,28090
85,28278,28341,28308,28320,28366,28341,28336,28370,28361,28355,28364
86,28361,28355,28364,28386,28375,28355,28334,28309,28325,28315,28287
87,28312,28296,28294,28313,28274,28262,28304,28301,28318,28324,28322
88,28296,28294,28313,28274,28262,28304,28301,28318,28324,28322,28303
89,28294,28313,28274,28262,28304,28301,28318,28324,28322,28303,28284
90,28274,28262,28304,28301,28318,28324,28322,28303,28284,28295,28290
91,28308,28327,28327,28326,28303,28322,28329,28327,28331,28309,28295
92,28326,28303,28322,28329,28327,28331,28309,28295,28302,28293,28291
93,28295,28302,28293,28291,28283,28277,28321,28338,28342,28311,28321
94,28316,28303,28292,28291,28292,28311,28306,28301,28302,28304,28295
95,28303,28292,28291,28292,28311,28306,28301,28302,28304,28295,28300
96,28291,28292,28311,28306,28301,28302,28304,28295,28300,28292,28304
97,28300,28292,28304,28308,28309,28306,28294,28282,28283,28288,28299
98,28296,28303,28309,28327,28299,28308,28309,28328,28319,28307,28319
99,28341,28350,28385,28353,28373,28383,28455,28446,28425,28403,28387
100,28353,28373,28383,28455,28446,28425,28403,28387,28367,28389,28400
101,28373,28383,28455,28446,28425,28403,28387,28367,28389,28400,28401
102,28143,28150,28147,28125,28123,28117,28118,28135,28113,28116,28113
103,28116,28113,28118,28123,28135,28117,28113,28112,28106,28117,28116
104,28118,28123,28135,28117,28113,28112,28106,28117,28116,28134,28142
105,28142,28162,28153,28190,28191,28159,28166,28118,28158,28130,28130
106,28153,28190,28191,28159,28166,28118,28158,28130,28130,28158,28171
107,28118,28158,28130,28130,28158,28171,28170,28151,28156,28156,28170
108,28156,28156,28170,28169,28171,28205,28227,28304,28318,28332,28311
109,28304,28318,28332,28311,28296,28282,28272,28269,28190,28197,28216
110,28269,28190,28197,28216,28188,28230,27944,27972,28023,28013,28017
111,28216,28188,28230,27944,27972,28023,28013,28017,28016,27987,27992
112,28230,27944,27972,28023,28013,28017,28016,27987,27992,27999,28008
113,27992,27999,28008,27995,27981,27949,27946,27939,27968,27988,27994
114,28052,28048,28042,28068,28054,28051,28050,28046,28059,28067,28067
115,28050,28046,28059,28067,28067,28056,28037,28038,28046,28044,28050
116,28056,28037,28038,28046,28044,28050,28035,28037,28030,28041,28016
117,28026,27890,27903,27879,27900,27921,27925,27922,27905,27921,27933
118,27879,27900,27921,27925,27922,27905,27921,27933,27936,27956,27964
119,27905,27921,27933,27936,27956,27964,27974,27977,27965,27972,27975
120,27933,27936,27956,27964,27974,27977,27965,27972,27975,27972,27966
121,27967,27963,27949,27957,27964,27971,28009,28014,27999,27962,27956
122,28009,28014,27999,27962,27956,27939,27926,27932,27956,27962,28185
123,27932,27956,27962,28185,28206,28171,28156,28140,28153,28127,28110
124,28092,28068,28077,28071,28091,28090,28091,28092,28096,28096,28102
125,28091,28090,28091,28092,28096,28096,28102,28120,28123,28114,28109
126,28090,28091,28092,28096,28096,28102,28120,28123,28114,28109,28127
127,28097,28110,28123,28110,28114,28105,28098,28095,28083,28066,28017
128,28057,28054,28062,28051,28055,28052,28038,28014,28015,28026,28014
129,28014,28011,27982,27967,27959,27927,27759,27745,27688,27684,27619
130,27967,27959,27927,27759,27745,27688,27684,27619,27702,27756,27753
131,27959,27927,27759,27745,27688,27684,27619,27702,27756,27753,27744
132,27927,27759,27745,27688,27684,27619,27702,27756,27753,27744,27755
133,27688,27684,27619,27702,27756,27753,27744,27755,27752,27716,27720
134,27619,27702,27756,27753,27744,27755,27752,27716,27720,27737,27669
135,27752,27716,27720,27737,27669,27705,27679,27691,27727,27697,27679
136,27737,27669,27705,27679,27691,27727,27697,27679,27681,27674,27675
137,27705,27679,27691,27727,27697,27679,27681,27674,27675,27711,27742
138,27727,27697,27679,27681,27674,27675,27711,27742,27742,27767,27771
139,27675,27711,27742,27742,27767,27771,27750,27745,27773,27764,27761
140,27742,27767,27771,27750,27745,27773,27764,27761,27734,27728,27717
141,27717,27718,27719,27684,27664,27645,27618,27634,27578,27580,27486
142,27443,27359,27406,27371,27428,27377,27333,27345,27375,27364,27392
143,27428,27377,27333,27345,27375,27364,27392,27349,27455,27510,27529
144,27345,27375,27364,27392,27349,27455,27510,27529,27515,27507,27510
145,27375,27364,27392,27349,27455,27510,27529,27515,27507,27510,27517
146,27521,27508,27491,27467,27468,27491,27515,27468,27499,27518,27525
147,27508,27491,27467,27468,27491,27515,27468,27499,27518,27525,27524
148,27468,27499,27518,27525,27524,27496,27523,27554,27538,27523,27522
149,27525,27524,27496,27523,27554,27538,27523,27522,27522,27523,27540
150,27621,27698,27706,27731,27706,27684,27637,27648,27672,27691,27684
151,27736,27725,27753,27764,27767,27777,27781,27778,27770,27749,27741
